family,code,label
delta,25120300,"Command and Control Areas / Targeted Area of Interest"
delta,25120400,"Command and Control Areas / Airfield Zone"
delta,25130000,"Command and Control Points"
delta,25130100,"Command and Control Points / Action Point (General)"
delta,25130200,"Command and Control Points / Amnesty Point"
delta,25130300,"Command and Control Points / Checkpoint"
delta,25130400,"Command and Control Points / Center of Main Effort"
delta,25130500,"Command and Control Points / Contact Point"
delta,25130600,"Command and Control Points / Coordinating Point"
delta,25130700,"Command and Control Points / Decision Point"
delta,25130800,"Command and Control Points / Distress Call"
delta,25130900,"Command and Control Points / Entry Control Point"
delta,25131000,"Command and Control Points / Fly-To-Point"
delta,25131001,"Command and Control Points / Fly-To-Point / Fly-To-Point (Sonobuoy)"
delta,25131002,"Command and Control Points / Fly-To-Point / Fly-To-Point (Weapon)"
delta,25131003,"Command and Control Points / Fly-To-Point / Fly-To-Point (Normal)"
delta,25131100,"Command and Control Points / Linkup Point"
delta,25131200,"Command and Control Points / Passage Point"
delta,25131300,"Command and Control Points / Point of Interest"
delta,25131301,"Command and Control Points / Point of Interest / Launch Event (Point of Interest)"
delta,25131400,"Command and Control Points / Rally Point"
delta,25131500,"Command and Control Points / Release Point"
delta,25131600,"Command and Control Points / Start Point"
delta,25131700,"Command and Control Points / Special Point"
delta,25131800,"Command and Control Points / Waypoint"
delta,25131900,"Command and Control Points / Airfield"
delta,25140000,"Maneuver Lines"
delta,25140100,"Maneuver Lines / Forward Line of Troops"
delta,25140101,"Maneuver Lines / Forward Line of Troops / Friendly Present"
delta,25140102,"Maneuver Lines / Forward Line of Troops / Friendly Planned or on Order"
delta,25140103,"Maneuver Lines / Forward Line of Troops / Enemy Known"
delta,25140104,"Maneuver Lines / Forward Line of Troops / Enemy Suspected or Templated"
delta,25140200,"Maneuver Lines / Line of Contact"
delta,25140300,"Maneuver Lines / Phase Line"
delta,25140400,"Maneuver Lines / Forward Edge of the Battle Area"
delta,25140401,"Maneuver Lines / Forward Edge of the Battle Area / Proposed or On Order"
delta,25140500,"Maneuver Lines / Principal Direction of Fire"
delta,25140600,"Maneuver Lines / Direction of Attack"
delta,25140601,"Maneuver Lines / Direction of Attack / Friendly Aviation"
delta,25140602,"Maneuver Lines / Direction of Attack / Friendly Direction of Main Attack"
delta,25140603,"Maneuver Lines / Direction of Attack / Friendly Direction of Supporting Attack"
delta,25140604,"Maneuver Lines / Direction of Attack / Friendly Planned or On Order"
delta,25140605,"Maneuver Lines / Direction of Attack / Feint"
delta,25140606,"Maneuver Lines / Direction of Attack / Enemy Confirmed"
delta,25140607,"Maneuver Lines / Direction of Attack / Enemy Templated or Suspected"
delta,25140700,"Maneuver Lines / Final Coordination Line"
